iter	Passed	Remaining
417	2749	3827
418	2756	3822
419	2764	3817
420	2770	3809
421	2777	3803
422	2783	3796
423	2788	3788
424	2797	3784
425	2803	3777
426	2809	3769
427	2815	3762
428	2821	3755
429	2828	3749
430	2833	3741
431	2840	3734
432	2846	3727
433	2852	3720
434	2859	3714
435	2866	3707
436	2872	3700
437	2878	3693
438	2883	3685
439	2890	3679
440	2896	3671
441	2902	3664
442	2908	3657
443	2914	3649
444	2920	3642
445	2926	3635
446	2932	3628
447	2940	3623
448	2946	3615
449	2952	3608
450	2960	3603
451	2966	3596
452	2972	3589
453	2978	3582
454	2984	3574
455	2991	3568
456	2997	3561
457	3003	3553
458	3008	3546
459	3014	3539
460	3021	3532
461	3027	3525
462	3033	3518
463	3041	3513
464	3047	3506
465	3054	3499
466	3060	3492
467	3066	3485
468	3073	3479
469	3079	3472
470	3086	3466
471	3093	3460
472	3098	3452
473	3105	3445
474	3111	3438
475	3117	3431
476	3123	3424
477	3128	3416
478	3135	3410
479	3141	3403
480	3148	3397
481	3155	3390
482	3161	3383
483	3167	3376
484	3173	3370
485	3179	3362
486	3186	3356
487	3191	3348
488	3198	3341
489	3203	3334
490	3209	3327
491	3215	3320
492	3221	3313
493	3228	3307
494	3235	3300
495	3241	3293
496	3247	3286
497	3253	3279
498	3259	3272
499	3266	3266
500	3272	3259
501	3278	3252
502	3285	3246
503	3291	3239
504	3297	3232
505	3303	3225
506	3309	3218
507	3315	3211
508	3321	3203
509	3327	3196
510	3334	3190
511	3340	3183
512	3347	3178
513	3353	3171
514	3360	3164
515	3367	3158
516	3373	3151
517	3379	3145
518	3386	3138
519	3392	3131
520	3398	3124
521	3404	3117
522	3411	3111
523	3417	3104
524	3422	3096
525	3429	3090
526	3435	3083
527	3441	3076
528	3448	3070
529	3454	3063
530	3460	3056
531	3468	3051
532	3474	3044
533	3481	3038
534	3487	3031
535	3494	3024
536	3500	3017
537	3506	3011
538	3514	3005
539	3519	2998
540	3525	2991
541	3531	2984
542	3537	2977
543	3544	2970
544	3549	2963
545	3556	2956
546	3562	2950
547	3568	2943
548	3574	2936
549	3580	2929
550	3586	2922
551	3593	2916
552	3599	2909
553	3606	2903
554	3612	2896
555	3618	2889
556	3624	2882
557	3630	2875
558	3636	2868
559	3642	2861
560	3648	2854
561	3655	2849
562	3661	2842
563	3667	2835
564	3674	2829
565	3680	2822
566	3686	2815
567	3693	2809
568	3699	2802
569	3706	2795
570	3712	2789
571	3718	2782
572	3725	2775
573	3731	2769
574	3737	2762
575	3743	2755
576	3749	2748
577	3756	2742
578	3761	2735
579	3768	2728
580	3774	2722
581	3780	2715
582	3788	2710
583	3795	2703
584	3801	2696
585	3807	2689
586	3813	2683
587	3819	2676
588	3825	2669
589	3831	2662
590	3838	2656
591	3844	2649
592	3851	2643
593	3857	2636
594	3864	2630
595	3871	2624
596	3877	2617
597	3883	2610
598	3890	2604
599	3896	2597
600	3902	2591
601	3908	2584
602	3914	2577
603	3920	2570
604	3926	2563
605	3934	2558
606	3940	2551
607	3946	2544
608	3952	2537
609	3958	2530
610	3965	2524
611	3971	2517
612	3977	2511
613	3983	2504
614	3989	2497
615	3995	2490
616	4002	2484
617	4008	2477
618	4014	2470
619	4020	2464
620	4026	2457
621	4033	2451
622	4039	2444
623	4044	2437
624	4051	2430
625	4057	2424
626	4066	2418
627	4071	2412
628	4078	2405
629	4084	2398
630	4090	2392
631	4096	2385
632	4103	2379
633	4109	2372
634	4116	2366
635	4122	2359
636	4128	2352
637	4134	2346
638	4140	2339
639	4147	2332
640	4153	2326
641	4159	2319
642	4166	2313
643	4171	2306
644	4177	2299
645	4183	2292
646	4190	2286
647	4196	2279
648	4203	2273
649	4210	2267
650	4217	2260
651	4222	2253
652	4232	2249
653	4245	2246
654	4248	2237
655	4254	2230
656	4260	2224
657	4266	2217
658	4272	2211
659	4279	2204
660	4284	2197
661	4290	2190
662	4297	2184
663	4303	2177
664	4306	2169
665	4314	2163
666	4320	2157
667	4327	2150
668	4332	2143
669	4338	2137
670	4347	2131
671	4352	2124
672	4359	2118
673	4365	2111
674	4371	2104
675	4377	2098
676	4383	2091
677	4389	2084
678	4396	2078
679	4402	2071
680	4409	2065
681	4415	2058
682	4421	2052
683	4428	2045
684	4434	2039
685	4441	2032
686	4446	2026
687	4452	2019
688	4459	2012
689	4465	2006
690	4472	1999
691	4479	1993
692	4489	1988
693	4496	1982
694	4504	1976
695	4514	1971
696	4522	1966
697	4529	1959
698	4537	1954
699	4545	1948
700	4552	1941
701	4560	1935
702	4567	1929
703	4573	1923
704	4579	1916
705	4585	1909
706	4592	1903
707	4598	1896
708	4604	1890
709	4611	1883
710	4617	1876
711	4625	1871
712	4631	1864
713	4638	1857
714	4644	1851
715	4649	1844
716	4656	1838
717	4662	1831
718	4670	1825
719	4677	1819
720	4683	1812
721	4689	1805
722	4695	1799
723	4702	1792
724	4709	1786
725	4715	1779
726	4721	1773
727	4727	1766
728	4734	1759
729	4739	1753
730	4745	1746
731	4754	1740
732	4759	1733
733	4766	1727
734	4772	1720
