iter	Logloss
0	0.6622431541
1	0.6357315375
2	0.6123352051
3	0.5848953558
4	0.5588826082
5	0.5327783079
6	0.5122549563
7	0.4831636079
8	0.4647156073
9	0.4412765192
10	0.4229554468
11	0.4062413741
12	0.3924999626
13	0.3780411701
14	0.3621026798
15	0.3475414354
16	0.334688646
17	0.3238280004
18	0.3120135249
19	0.3003379977
20	0.2891235974
21	0.2791896898
22	0.2707279439
23	0.2597623553
24	0.2499886338
25	0.2409679024
26	0.2359338566
27	0.2289850352
28	0.2223162593
29	0.2160030443
30	0.2108550714
31	0.2076047002
32	0.2015634031
33	0.1955045428
34	0.1895772973
35	0.1854831618
36	0.180427489
37	0.1775818494
38	0.1728487287
39	0.1681381537
40	0.1650265441
41	0.1610082821
42	0.1577717995
43	0.1542641309
44	0.1525321182
45	0.1494412481
46	0.1473920861
47	0.1442088536
48	0.1429093964
49	0.1398208307
50	0.1372745125
51	0.1350161805
52	0.1324867404
53	0.1307650508
54	0.1285918411
55	0.1275927719
56	0.1257376768
57	0.123988934
58	0.1225106765
59	0.1216836579
60	0.1203785877
61	0.1188209222
62	0.1180814315
63	0.1174054438
64	0.1166780589
65	0.1152122887
66	0.113783233
67	0.1128281574
68	0.1117026349
69	0.1106873181
70	0.1098283962
71	0.1091796797
72	0.1087306743
73	0.1076915819
74	0.1069706508
75	0.1062456403
76	0.1059224499
77	0.1054027168
78	0.1046496411
79	0.1040526254
80	0.1032759452
81	0.1029658337
82	0.1025712149
83	0.1018416969
84	0.1011821124
85	0.1005043808
86	0.1000018529
87	0.09939335414
88	0.09886775114
89	0.09856130639
90	0.09825226141
91	0.09799447352
92	0.09738384947
93	0.09689457173
94	0.0965246473
95	0.09620499903
96	0.0956330747
97	0.09531452413
98	0.09485785037
99	0.09459916718
100	0.09412663518
101	0.09366336745
102	0.09334559538
103	0.09302235817
104	0.09279895705
105	0.0923466118
106	0.09198419999
107	0.09181179124
108	0.09163813688
109	0.09127916609
110	0.09111897994
111	0.09080169833
112	0.09050482925
113	0.09011769197
114	0.08995070166
115	0.08970057429
116	0.08950618043
117	0.08932013998
118	0.08890612077
119	0.08856995252
120	0.08832996135
121	0.08802715224
122	0.08788558026
123	0.08784688833
124	0.08760041996
125	0.08730278794
126	0.08708611313
127	0.08676374786
128	0.08665772263
129	0.08640696467
130	0.08626039466
131	0.08594536295
132	0.08567037777
133	0.08535745582
134	0.08505970702
135	0.08497344036
136	0.08472521256
137	0.08445672016
138	0.08431003337
139	0.08404568263
140	0.08378233618
141	0.08355778285
142	0.08333814193
143	0.08324057131
144	0.08311138542
145	0.08290571096
146	0.08273633062
147	0.08264661516
148	0.08252731635
149	0.08245472032
150	0.08236876507
151	0.08219831817
152	0.08190626028
153	0.08174500757
154	0.08156820025
155	0.08144929847
156	0.08115652435
157	0.08091081892
158	0.08068871012
159	0.08048555024
160	0.08033031541
161	0.08011271418
162	0.07998890001
163	0.07982450213
164	0.07967451446
165	0.07942817844
166	0.07916997793
167	0.0789652766
168	0.07885183218
169	0.07875314051
170	0.07851272116
171	0.07833225484
172	0.07824129377
173	0.07814660364
174	0.07793113553
